customer_id,customer_name,email,registration_date,customer_type
CUST_0013,Brian Thompson,kathleen68@example.org,2026-06-07,PREMIUM
CUST_0014,Erin Lee,princepaige@example.org,2024-07-30,REGULAR
CUST_0015,Amy Campbell,michaelramos@example.org,2024-09-19,REGULAR
CUST_0016,Michael Drake,laura98@example.org,2025-03-30,VIP
CUST_0017,Michael Harper,patricia37@example.net,2024-09-20,PREMIUM
CUST_0018,Yolanda Rivera,thomas63@example.com,2025-02-09,PREMIUM
CUST_0019,Catherine Calderon,joanrodriguez@example.net,2025-06-07,PREMIUM
CUST_0020,April Crawford,tammyhunter@example.org,2025-04-03,REGULAR
CUST_0021,Thomas Griffith,ucortez@example.net,2025-08-16,REGULAR
CUST_0022,Kayla Baldwin,mthomas@example.com,2025-11-17,PREMIUM
CUST_0023,Erin Wilson,paul53@example.org,2024-12-20,REGULAR
CUST_0024,Joel Livingston,donaldsontyler@example.org,2026-02-01,REGULAR
CUST_0025,Rachel Hill,smccarty@example.net,2024-11-06,PREMIUM
CUST_0026,Sheri Bell,ccurtis@example.net,2025-01-14,REGULAR
CUST_0027,Michael Thomas,marissa32@example.com,2026-04-01,PREMIUM
CUST_0028,Scott Davidson,zachary96@example.net,2026-02-18,PREMIUM
CUST_0029,Katherine Johnson,iadams@example.net,2026-04-18,VIP
CUST_0030,Veronica Moss,robert99@example.net,2025-09-30,PREMIUM
CUST_0031,Katherine Gonzalez,alexis69@example.com,2025-06-24,REGULAR
CUST_0032,Monica Hooper,brandon13@example.org,2025-08-25,VIP
CUST_0033,Carl Jones,kmiller@example.com,2024-07-23,PREMIUM
CUST_0034,Larry Valencia,randerson@example.com,2024-07-25,VIP
CUST_0035,Mark Rose,dianecox@example.net,2025-02-20,REGULAR
CUST_0036,Melanie Robertson,hnewman@example.org,2026-04-30,PREMIUM
CUST_0037,Zoe Dean,berryangela@example.net,2025-10-21,REGULAR
CUST_0038,Dr. Alexander Gray,emaxwell@example.net,2024-11-25,VIP
CUST_0039,Brian Arellano,nicole51@example.org,2024-11-13,PREMIUM
CUST_0040,Dawn Kane,alexandra05@example.com,2026-04-25,VIP
CUST_0041,Jamie Smith,jacksonalex@example.com,2024-08-12,VIP
CUST_0042,Linda Hodges,gomezmargaret@example.net,2025-01-11,PREMIUM
CUST_0043,Sara Campbell,garciakaren@example.com,2024-09-10,VIP
CUST_0044,Joshua Cannon,afoster@example.net,2025-12-24,REGULAR
CUST_0045,Haley Goodwin,jacksonmichelle@example.net,2026-06-11,VIP
CUST_0046,Charles Wright,brent61@example.net,2025-11-05,REGULAR
CUST_0047,Emily Ibarra,davidwallace@example.com,2024-10-25,REGULAR
CUST_0048,Donna Lowe,lbryant@example.com,2025-04-26,VIP
CUST_0049,James Joseph,kbrown@example.com,2024-08-02,REGULAR
CUST_0050,Debra Huerta,tbradley@example.com,2026-06-01,PREMIUM
CUST_0051,Thomas Kane,stephenjohnson@example.org,2024-07-12,REGULAR
CUST_0052,John Cain,sclark@example.net,2025-04-04,REGULAR
CUST_0053,Jennifer Clark,thomasmorris@example.org,2025-07-19,REGULAR
CUST_0054,Emily Cook,melaniemcdaniel@example.net,2026-05-08,PREMIUM
CUST_0055,Erin Sheppard,arthur88@example.net,2025-05-28,PREMIUM
CUST_0056,Michael Holmes,slang@example.org,2026-05-30,PREMIUM
CUST_0057,Adrian Guerrero,ian72@example.com,2024-09-26,VIP
CUST_0058,Rebecca Warren,beckypitts@example.net,2026-06-30,PREMIUM
CUST_0059,Frank Nelson,alvaradoandrea@example.com,2024-09-20,REGULAR
CUST_0060,Donna Gaines,heatherjensen@example.com,2025-07-10,PREMIUM
CUST_0061,Robert Williamson DDS,walltony@example.net,2025-07-29,PREMIUM
CUST_0062,Jennifer Hart,jonesgerald@example.net,2025-12-23,REGULAR
CUST_0063,Dakota Bennett,ibell@example.net,2026-04-25,VIP
CUST_0064,Ian White,qking@example.org,2024-08-13,PREMIUM
CUST_0065,Casey Lowe,cassandra06@example.com,2024-11-15,VIP
CUST_0066,Samuel Hall,kjones@example.org,2025-08-28,VIP
CUST_0067,Sara Bradley,prodriguez@example.com,2025-06-05,VIP
CUST_0068,Joshua Murphy,emilyjohnson@example.org,2026-05-12,REGULAR
CUST_0069,Denise Castro,vmiddleton@example.org,2025-05-23,VIP
CUST_0070,Tamara Smith,lweber@example.org,2026-01-02,VIP
CUST_0071,Ashley Hernandez,nmitchell@example.com,2026-02-03,REGULAR
CUST_0072,Amber Hicks,davisstephen@example.net,2026-03-02,VIP
CUST_0073,Katherine Short,twilson@example.com,2025-02-16,VIP
CUST_0074,Sarah Olson,brandi16@example.net,2025-12-01,REGULAR
CUST_0075,Megan Moore,rachelsmith@example.net,2024-08-20,REGULAR
CUST_0076,Robert Hernandez,qfoster@example.com,2024-10-20,PREMIUM
CUST_0077,Brittany Rollins,iberg@example.org,2025-01-12,PREMIUM
CUST_0078,Julie Wright,jacobmontgomery@example.net,2024-07-13,PREMIUM
CUST_0079,Michael Joseph,hjoseph@example.com,2025-07-06,VIP
CUST_0080,Crystal Chavez,davisashley@example.org,2025-07-31,VIP
CUST_0081,Ricardo Fletcher,hansenchristopher@example.com,2026-02-05,VIP
CUST_0082,Brett Hinton,anthonydavis@example.com,2025-01-24,REGULAR
CUST_0083,Michelle Wilson,alyssabrown@example.org,2024-11-11,VIP
CUST_0084,Edward Phelps,smithsharon@example.net,2025-03-25,PREMIUM
CUST_0085,Anthony Gross,gwilson@example.com,2024-07-16,REGULAR
CUST_0086,Denise Barber,smithkathy@example.net,2026-04-21,REGULAR
CUST_0087,Alexander Collins,zphillips@example.com,2026-04-06,REGULAR
CUST_0088,Caitlin Brown,whiteheadjoseph@example.org,2026-01-12,PREMIUM
CUST_0089,Linda King,bishopnicholas@example.com,2024-07-08,PREMIUM
CUST_0090,Karen Miller,nochoa@example.org,2025-05-19,PREMIUM
CUST_0091,Jessica Estrada,danieljennifer@example.com,2026-04-22,REGULAR
CUST_0092,April Sparks,jeanettecraig@example.com,2025-04-26,REGULAR
CUST_0093,Teresa Jensen,hannah67@example.net,2025-09-23,VIP
CUST_0094,Monica Benson,nicholas61@example.org,2025-07-05,VIP
CUST_0095,Daniel Maldonado,donald43@example.org,2025-02-26,PREMIUM
CUST_0096,Jeremiah Robinson Jr.,desireekidd@example.net,2026-01-26,REGULAR
CUST_0097,Mark Scott,kathleen48@example.com,2025-11-01,VIP
CUST_0098,Mark Mills,whitebrandon@example.org,2025-01-24,PREMIUM
CUST_0099,Ralph Tucker,kimjulia@example.net,2025-08-02,PREMIUM
CUST_0100,Nancy Webb,nwilson@example.com,2026-01-11,VIP
CUST_0101,Dawn Boyd,maddenricky@example.org,2026-06-29,PREMIUM
CUST_0102,Richard Watts,robinsonjesse@example.com,2024-08-19,REGULAR
CUST_0103,Logan Contreras,joshuadavis@example.net,2024-08-26,PREMIUM
CUST_0104,April Olson,pamelawilliams@example.org,2025-05-28,REGULAR
CUST_0105,Mary Wall,kfreeman@example.com,2025-11-28,REGULAR
CUST_0106,Timothy Conner,jonesalicia@example.net,2026-01-24,VIP
CUST_0107,Calvin Hill,davidsmith@example.net,2026-01-08,VIP
CUST_0108,Cynthia Johnson,phillipshelen@example.net,2024-08-24,VIP
CUST_0109,Lisa Wang,rodriguezwanda@example.net,2026-01-30,PREMIUM
CUST_0110,Samantha Gonzalez,justin65@example.org,2026-02-16,VIP
CUST_0111,Christopher Sanchez,asmith@example.com,2024-12-23,VIP
CUST_0112,Jesse Stevenson,schmidtlinda@example.net,2025-08-18,PREMIUM
CUST_0113,Nathan Hill,devin92@example.net,2026-05-29,VIP
CUST_0114,Kelly Miller,wmiller@example.net,2024-10-05,PREMIUM
CUST_0115,Jessica Owens,stevenjohnson@example.org,2026-04-02,PREMIUM
CUST_0116,Amy Gray,cruzbrittany@example.com,2024-11-09,REGULAR
CUST_0117,Brenda Murray,christopher47@example.net,2025-01-31,REGULAR
CUST_0118,Christopher Matthews,victoriabell@example.org,2024-12-27,VIP
CUST_0119,Wanda Schultz,gainesshannon@example.com,2026-01-02,PREMIUM
CUST_0120,Travis Ferguson,jessicapalmer@example.org,2025-09-23,REGULAR
CUST_0121,Mr. Travis Glover Jr.,stacey95@example.org,2025-05-02,REGULAR
CUST_0122,Gregory Marshall,crystal69@example.net,2025-04-16,REGULAR
CUST_0123,Mrs. Megan Marsh DDS,brian97@example.org,2026-02-03,REGULAR
CUST_0124,Shane Hodges,harrislori@example.com,2026-05-08,VIP
CUST_0125,Rachel Davis,ramireznicholas@example.org,2024-07-18,REGULAR
CUST_0126,Karl Mcintyre,patelvanessa@example.net,2025-12-08,VIP
CUST_0127,Anthony Johnson,lauramartin@example.com,2026-03-03,PREMIUM
CUST_0128,Margaret Combs,andrea06@example.net,2026-02-08,VIP
